,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-11,,,Способен разрабатывать компоненты систем защиты информации автоматизированных систем;,ОПК
,ОПК-11.1,,"Участвует в разработке политики безопасности, политики управления доступом и информационными потоками в автоматизированных системах",-
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-11.2,,Способен учесть угрозы безопасности информации и требования по защите информации,-
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-12,,,"Способен применять знания в области безопасности вычислительных сетей, операционных систем и баз данных при разработке автоматизированных систем;",ОПК
,ОПК-12.1,,Владеет методами администрирования вычислительных  сетей и контроля корректности их функционирования,-
,,Б1.О.47,Основы построения защищённых компьютерных сетей,
,,Б1.О.51,Компьютерные сети,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-12.2,,Администрирует операционные системы в зазищенном исполнении,-
,,Б1.О.13,Операционные системы,
,,Б1.О.22,Защита в операционных системах,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-12.3,,Участвует в проектировании баз данных,-
,,Б1.О.36,Системы управления базами данных,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-13,,,"Способен организовывать и проводить диагностику и тестирование систем защиты информации автоматизированных систем, проводить анализ уязвимостей систем защиты информации автоматизированных систем;",ОПК
,ОПК-13.1,,Участвует в разработке компонентов программных и программно-аппаратных средств защиты информации в автоматизированных системах,-
,,Б1.О.10,Программно-аппаратные средства защиты информации,
,,Б1.О.40,Аппаратные средства вычислительной техники,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-13.2,,Способен проводить анализ  безопасности информации в автоматизированных системах,-
,,Б1.О.11,Управление информационной безопасностью,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-14,,,"Способен осуществлять разработку, внедрение и эксплуатацию автоматизированных систем с учетом требований по защите информации, проводить подготовку исходных данных для технико-экономического обоснования проектных решений;",ОПК
,ОПК-14.1,,Участвует в разработке и внедрению в эксплуатацию  автоматизированных систем,-
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-14.2,,Способен проводить подготовку исходных данных для технико-экономического обоснования проектных решений,-
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-15,,,"Способен осуществлять администрирование и контроль функционирования средств и систем защиты информации автоматизированных систем, инструментальный мониторинг защищенности автоматизированных систем;",ОПК
,ОПК-15.1,,Владеет методами администрирования и контроля функционирования автоматизированных систем,-
,,Б1.О.10,Программно-аппаратные средства защиты информации,
,,Б1.О.11,Управление информационной безопасностью,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,ОПК-15.2,,Способен проводить инструментальный мониторинг защищенности автоматизированных систем,-
,,Б1.О.10,Программно-аппаратные средства защиты информации,
,,Б1.О.11,Управление информационной безопасностью,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-16,,,"Способен анализировать основные этапы и закономерности исторического развития России, ее место и роль в контексте всеобщей истории, в том числе для формирования гражданской позиции и развития патриотизма.",ОПК
,ОПК-16.1,,"Имеет представление об  основных этапах и закономерностях исторического развития России, ее месте и роли в контексте всеобщей истории, в том числе, для формирования гражданской позиции и развития патриотизма",-
,,Б1.О.02,"История (история России, всеобщая история)",
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
ОПК-5.1,,,Способен разрабатывать и реализовывать политику информационной безопасности открытых информационных систем;,-
,ОПК-5.1.1,,Участвует в разработке политики информационной безопасности открытых информационных систем,-
,,Б1.О.11,Управление информационной безопасностью,
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б1.О.48,Открытые информационные системы,
,,Б1.О.52,Комплексная защита информации,
,,Б2.О.02(П),Научно-исследовательская работа. Часть 1,
,,Б2.О.03(П),Научно-исследовательская работа. Часть 2,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,ОПК-5.1.2,,Имеет представление о способах реализации политики информационной безопасности открытых информационных систем,-
,,Б1.О.11,Управление информационной безопасностью,
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б1.О.48,Открытые информационные системы,
,,Б1.О.52,Комплексная защита информации,
,,Б2.О.02(П),Научно-исследовательская работа. Часть 1,
,,Б2.О.03(П),Научно-исследовательская работа. Часть 2,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
ОПК-5.2,,,Способен разрабатывать и эксплуатировать системы защиты информации открытых информационных систем;,-
,ОПК-5.2.1,,Участвует в разработке системы защиты информации открытых информационных систем,-
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б1.О.48,Открытые информационные системы,
,,Б1.О.52,Комплексная защита информации,
,,Б2.О.02(П),Научно-исследовательская работа. Часть 1,
,,Б2.О.03(П),Научно-исследовательская работа. Часть 2,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,ОПК-5.2.2,,Имеет представление о способах эксплуатации систем защиты информации открытых информационных систем,-
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б1.О.48,Открытые информационные системы,
,,Б1.О.52,Комплексная защита информации,
,,Б2.О.02(П),Научно-исследовательская работа. Часть 1,
