-,-,-,Форма контроля,,,,,,,з.е.,Итого акад.часов,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,ДКР,Др,Факт,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
-,Б1.В.ДВ.04.02,Технологии программирования,8,,,,,,,5,180,54,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,36,90,36,92
Блок 2.Практика ,,,,,,,,,,21,756,,,756,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
Обязательная часть ,,,,,,,,,,6,216,,,216,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б2.О.01(У),Ознакомительная,,,2,,,,,3,108,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б2.О.02(У),Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы),,,4,,,,,3,108,,,108,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
"Часть, формируемая участниками образовательных отношений ",,,,,,,,,,15,540,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
+,Б2.В.01(П),Научно - исследовательская работа,,,6,,,,,6,216,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,,,,,,,,95
+,Б2.В.02(П),Преддипломная  практика,,,8,,,,,9,324,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,95
Блок 3.Государственная итоговая аттестация ,,,,,,,,,,6,216,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,
Обязательная часть ,,,,,,,,,,6,216,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,
+,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,,,,,,,,6,216,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,95
ФТД.Факультативы ,,,,,,,,,,4,144,36,36,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,,,36,108,,,,,,,,,,,,,,,,,,,,,,,
"Часть, формируемая участниками образовательных отношений ",,,,,,,,,,4,144,36,36,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,,,36,108,,,,,,,,,,,,,,,,,,,,,,,
+,ФТД.В.01,Цифровая обработка сигналов,,5,,,,,,2,72,18,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,18,54,,,,,,,,,,,,,,,,,,,,,,,95
+,ФТД.В.02,Пакеты прикладных программ,,5,,,,,,2,72,18,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,18,54,,,,,,,,,,,,,,,,,,,,,,,95
