Номер,Аббревиатура,Название кафедры
443,ЭиУБП_ИУБП,Кафедра экономики и управления бизнес-процессами
444,ЭиФБ_ИУБП,Кафедра экономической и финансовой безопасности
445,БИиМБП_ИУБП,Кафедра бизнес-информатики и моделирования бизнес-процессов
446,Б-ФСФМ_ИУБП,Базовая кафедра Федеральной службы по финансовому мониторингу (Росфинмониторинг)
447,Б-ИП_ИУБП,Базовая кафедра индустриальных партнеров
448,ТиЭТ_ИТиСУ,Кафедра товароведения и экспертизы товаров
449,ТиООП_ИТиСУ,Кафедра технологии и организации общественного питания
450,ТДиМ_ИТиСУ,Кафедра торгового дела и маркетинга
451,ГД_ИТиСУ,Кафедра гостиничного дела
452,БУАиА_ИТиСУ,"Кафедра бухгалтерского учета, анализа и аудита"
453,ММиИТТиСУ,Кафедра математических методов и информационных технологий в торговле и сфере услуг
454,Б-ТД_ИТиСУ,Базовая кафедра таможенного дела (Сибирского таможенного управления ФТС России)
455,ОСПО_ИТиСУ,Отделение среднего профессионального образования
456,ИИиКГ_ИАД,Кафедра изобразительного искусства и компьютерной графики (ИИиКГ_ИАД)
457,Э_ПИ,Кафедра электротехники (Э_ПИ)
458,ЭЭ_ПИ,Кафедра электроэнергетики (ЭЭ_ПИ)
459,ЭиГД_ХТИ,Кафедра экономики и гуманитарных дисциплин (ЭиГД_ХТИ)
460,ГТСиГМ_СШФ,Кафедра гидротехнических сооружений и гидравлических машин  (ГТСиГМ_СШФ)
461,ИРМиРЦ_ГИ,"Кафедра истории России, мировых и региональных цивилизаций"
462,Б-АМТ_ПИ,Базовая кафедра автоматизированных машиностроительных технологий (Б-АМТ_ПИ)
